"site","transect","plot","live_tree_density","standing_dead_density","aspen_trees_gCm2","birch_trees_gCm2","pine_trees_gCm2","larch_trees_gCm2","trees_raw","region","mean_trees","mean_snags","trees_gCm2","snags_gCm2","live_larch_density","treatment"
"FRK",1,"100",3708,367,NA,373.170034438929,8.88306718165616,2593.9073306231,2975.96043224368,"Yakutsk",0.930916433047077,0.0670003294896095,2770.37047047353,199.390329508368,3244,"pre-burn"
"FRK",1,"150",3244,321,NA,94.2974234546191,8.049122023686,10238.8801474073,10341.2266928856,"Yakutsk",0.930916433047077,0.0670003294896095,9626.81786627227,692.865595750079,1854,"pre-burn"
"FRK",1,"200",5793,573,NA,749.800877225347,45.0731742385231,1645.44191021521,2440.31596167908,"Yakutsk",0.930916433047077,0.0670003294896095,2271.73023055414,163.501973491252,2549,"pre-burn"
"FRK",1,"25",7763,768,NA,NA,5.18177291295327,1854.46857185987,1859.65034477282,"Yakutsk",0.930916433047077,0.0670003294896095,1731.17906567068,124.597185835245,7647,"pre-burn"
"FRK",1,"50",5446,539,NA,NA,85.8851676819307,1834.83206404105,1920.71723172298,"Yakutsk",0.930916433047077,0.0670003294896095,1788.02723424762,128.68868738181,4403,"pre-burn"
"FRK",1,"75",8226,814,4.62340131330699,154.470488644145,71.8580959708781,2435.00521449168,2665.95720042001,"Yakutsk",0.930916433047077,0.0670003294896095,2481.78336767117,178.620010833338,6257,"pre-burn"
"FRK",3,"150",11949,1182,17.7961472591424,203.965633651994,8.81767028394781,2499.53591032384,2730.11536151892,"Yakutsk",0.930916433047077,0.0670003294896095,2541.50925415222,182.918628766412,9052,"pre-burn"
"FRK",3,"25",4345,430,11.3682404766874,70.0211038468682,NA,717.347726908647,798.737071232203,"Yakutsk",0.930916433047077,0.0670003294896095,743.557465293951,53.5156469481233,3259,"pre-burn"
"FRK",3,"75",7785,770,47.2923070308238,NA,6.7562892239843,1344.4548800455,1398.5034763003,"Yakutsk",0.930916433047077,0.0670003294896095,1301.88986776142,93.7001937044846,6698,"pre-burn"
"Korova",1,"150",8328,824,NA,49.0615699712908,NA,1654.9626454069,1704.02421537819,"Yakutsk",0.999999999999999,0,1704.02421537819,0,7785,"pre-burn"
"Korova",1,"25",7242,716,NA,60.9435541732454,NA,1099.97490861322,1160.91846278647,"Yakutsk",0.999999999999999,0,1160.91846278647,0,6698,"pre-burn"
"Korova",1,"75",3802,376,NA,17.233363108323,NA,998.509000607209,1015.74236371553,"Yakutsk",0.999999999999999,0,1015.74236371553,0,3621,"pre-burn"
"Maya",2,"150",4403,435,29.878648027216,190.035526546959,6.73665306482554,4669.34816225065,4895.99898988965,"Yakutsk",0.989523794694984,0.00989461600818357,4844.70749929842,48.4440299814127,2897,"pre-burn"
"Maya",2,"25",5214,516,11.7951443757309,157.149835712201,NA,1918.80752718671,2087.75250727464,"Yakutsk",0.989523794694984,0.00989461600818357,2065.88078338237,20.657509379605,4287,"pre-burn"
"Maya",2,"75",3939,390,NA,37.0627168984323,NA,3767.77275284733,3804.83546974576,"Yakutsk",0.989523794694984,0.00989461600818357,3764.9752322129,37.6473859474511,3708,"pre-burn"
"Maya",3,"25",5098,504,NA,NA,NA,4079.7090451732,4079.7090451732,"Yakutsk",0.989523794694984,0.00989461600818357,4036.96917563123,40.367154427102,5098,"pre-burn"
"ROB",1,"150",3983,394,NA,NA,NA,2747.14753761841,2747.14753761841,"Yakutsk",0.989984220125793,0.00971646540079342,2719.63271259966,26.6925640001441,3983,"pre-burn"
"ROB",1,"25",6698,662,NA,NA,NA,2365.73406399256,2365.73406399256,"Yakutsk",0.989984220125793,0.00971646540079342,2342.0393923667,22.9865731802621,6698,"pre-burn"
"ROB",1,"75",1072,106,NA,483.089210040129,NA,1594.54546784416,2077.63467788429,"Yakutsk",0.989984220125793,0.00971646540079342,2056.82554629158,20.1872654631513,840,"pre-burn"
"ROB",2,"150",4707,466,NA,93.1771560939203,NA,5711.58519110184,5804.76234719576,"Yakutsk",0.989984220125793,0.00971646540079342,5746.62312530416,56.401772506356,3259,"pre-burn"
"ROB",2,"25",4171,413,NA,28.7183269957217,NA,4307.12588600278,4335.8442129985,"Yakutsk",0.989984220125793,0.00971646540079342,4292.41735179225,42.1290802788303,3824,"pre-burn"
"ROB",2,"75",11043,1092,NA,185.754182163861,NA,1532.14743205086,1717.90161421472,"Yakutsk",0.989984220125793,0.00971646540079342,1700.6954898012,16.6919315964845,8509,"pre-burn"
"ROB",3,"150",14161,1401,NA,637.793154417579,NA,788.339337329963,1426.13249174754,"Yakutsk",0.989984220125793,0.00971646540079342,1411.84866263874,13.8569670130123,9334,"pre-burn"
"ROB",3,"25",12230,1210,NA,345.709033996964,NA,900.352321112103,1246.06135510907,"Yakutsk",0.989984220125793,0.00971646540079342,1233.58107886654,12.107312044183,9655,"pre-burn"
"ROB",3,"75",16092,1592,NA,1010.29701985928,NA,1025.20420334569,2035.50122320497,"Yakutsk",0.989984220125793,0.00971646540079342,2015.11409101967,19.7778772085438,9977,"pre-burn"
