"site","transect","plot","basal_area_ha"
"Alnus",1,"-25",8.8040589999714
"Alnus",1,"-50",10.5320249999658
"Alnus",1,"100",2.54952499986999
"Alnus",1,"150",6.28653906217941
"Alnus",1,"200",8.79538437455147
"Alnus",1,"25",3.66094799998811
"Alnus",1,"50",3.34376874982948
"Alnus",1,"75",4.17229062478723
"ANS",1,"-25a",17.6077429999428
"ANS",1,"-25b",26.3970579999142
"ANS",1,"100",0
"ANS",1,"150",0
"ANS",1,"25",12.9835699999578
"ANS",1,"250",0
"ANS",1,"50",2.19039999999288
"ANS",1,"75",0.789488999997435
"ANS",2,"-25",8.86774399997119
"ANS",2,"-50",10.0907639999672
"ANS",2,"100",0
"ANS",2,"150",0
"ANS",2,"200",0
"ANS",2,"25",0
"ANS",2,"50",0
"ANS",2,"75",0.724200999997647
"ANS",3,"-25a",15.39593399995
"ANS",3,"-25b",34.5680589998877
"ANS",3,"100",0.973065999996838
"ANS",3,"150",1.95198099999366
"ANS",3,"200",0
"ANS",3,"25",0.188899999999386
"ANS",3,"50",1.45926399999526
"ANS",3,"75",0
"BP",1,"-25a",8.09064199997371
"BP",1,"-25b",15.6111849999493
"BP",1,"100",0
"BP",1,"150",0
"BP",1,"200",0
"BP",1,"25",0.0086489999999719
"BP",1,"50",0.0388089999998739
"BP",1,"75",0
"BP",2,"-25a",3.5084219999886
"BP",2,"-25b",5.48028399998219
"BP",2,"100",0
"BP",2,"150",0
"BP",2,"200",0
"BP",2,"25",0
"BP",2,"50",0
"BP",2,"75",0
"CN",1,"-25",1.74477699977218
"CN",1,"-50",1.18254968756768
"CN",1,"100",0
"CN",1,"150",0
"CN",1,"200",0
"CN",1,"25",2.55240749966672
"CN",1,"50",0
"CN",1,"75",0
"CN",2,"-35",14.4674833345144
"CN",2,"-60",13.9816000011414
"CN",2,"100",0
"CN",2,"150",0
"CN",2,"200",0
"CN",2,"25",0
"CN",2,"50",0
"CN",2,"75",0
"CN",3,"-25",11.700495999962
"CN",3,"-50",22.3481583351577
"CN",3,"100",0
"CN",3,"150",0
"CN",3,"200",0
"CN",3,"25",0
"CN",3,"50",0
"CN",3,"75",0
"FOC",1,"-15a",49.0299999998407
"FOC",1,"-15b",47.0199999998472
"FOC",1,"100",0
"FOC",1,"150",0
"FOC",1,"200",0
"FOC",1,"25",26.3749999999143
"FOC",1,"50",9.33999999996966
"FOC",1,"75",24.7324999999196
"FOC",2,"-25",21.5487568178749
"FOC",2,"-50",17.7005049527477
"FOC",2,"100",0
"FOC",2,"150",0
"FOC",2,"200",0.439086008747129
"FOC",2,"25",0.200000000016327
"FOC",2,"50",0
"FOC",2,"75",0
"FRK",1,"-25",22.3459999999274
"FRK",1,"-50",29.1927999999052
"FRK",1,"100",1.21689999999605
"FRK",1,"150",1.67996299999454
"FRK",1,"200",2.37563099999228
"FRK",1,"25",2.01479999999345
"FRK",1,"50",5.75742499998129
"FRK",1,"75",5.48578299998218
"FRK",2,"-50",53.3815499998266
"FRK",3,"-25",22.6653812488442
"FRK",3,"150",2.42482343737634
"FRK",3,"25",1.43522343742681
"FRK",3,"75",2.15228124989024
"FU",1,"-15",12.3614583343424
"FU",1,"-35",47.2793861149707
"FU",2,"-35",29.3127688430323
"FU",2,"-60",26.7028861775826
"FU",2,"100",10.8419444453295
"FU",2,"150",4.86989999998418
"FU",2,"200",2.00694444460828
"FU",2,"25",10.1783539999669
"FU",2,"50",21.3580555572991
"FU",2,"75",3.74694444475032
"FU",3,"-25",6.48722499997892
"FU",3,"-50",8.91492499997104
"FU",3,"100",0
"FU",3,"150",0
"FU",3,"200",0
"FU",3,"25",5.00000000040817
"FU",3,"50",0
"FU",3,"75",0
"Gonzo",1,"-25",7.63658611173451
"Gonzo",1,"-50",13.6684416677825
"Gonzo",1,"100",0
"Gonzo",1,"150",0
"Gonzo",1,"200",0
"Gonzo",1,"25",0
"Gonzo",1,"50",0
"Gonzo",1,"75",0
"Gonzo",2,"-15",22.5587472240638
"Gonzo",2,"-35",26.1454722243566
"Gonzo",2,"100",0
"Gonzo",2,"150",0
"Gonzo",2,"200",0
"Gonzo",2,"25",0
"Gonzo",2,"50",0
"Gonzo",2,"75",0
"Gonzo",3,"-50",6.6558826037412
"Gonzo",3,"-75",9.10987702581692
"Gonzo",3,"100",0
"Gonzo",3,"150",0
"Gonzo",3,"200",0
"Gonzo",3,"25",0
"Gonzo",3,"50",0
"Gonzo",3,"75",0
"HR",1,"-20",2.44411874968086
"HR",1,"-50",1.9851359997408
"HR",1,"100",0.103345999986506
"HR",1,"150",0
"HR",1,"200",0
"HR",1,"25",0.00489999999936019
"HR",1,"50",0
"HR",1,"75",0.577599999924581
"HR",2,"-25",3.01373324960649
"HR",2,"-50",1.08648749985813
"HR",2,"100",0.0123047499983933
"HR",2,"150",0
"HR",2,"200",0
"HR",2,"25",0.334900999956271
"HR",2,"50",0.210316249972538
"HR",2,"75",0
"Korova",1,"-25",16.8119781241427
"Korova",1,"150",0.374609374980897
"Korova",1,"25",0.447239062477193
"Korova",1,"75",0.131406249993299
"Maya",2,"-25",26.2774469999146
"Maya",2,"150",2.19292299999287
"Maya",2,"25",2.97975399999032
"Maya",2,"75",1.85765499999396
"Maya",3,"-40",24.8752656237315
"Maya",3,"25",0
"ROB",1,"-25",17.6820189999426
"ROB",1,"150",9.19575156203106
"ROB",1,"25",0.321249999983618
"ROB",1,"75",0.424347249944592
"ROB",2,"-25",28.1294624985655
"ROB",2,"150",13.0661109368337
"ROB",2,"25",3.59063499998833
"ROB",2,"75",4.3631812497775
"ROB",3,"-25",26.7924277799649
"ROB",3,"150",1.90850277793358
"ROB",3,"25",2.4601666668675
"ROB",3,"75",5.72489166713401
"Shark",1,"-25a",14.9960689999513
"Shark",1,"-25b",17.1406249999443
"Shark",1,"100",0
"Shark",1,"25",0
"Shark",1,"50",0
"Shark",1,"75",0
"Shark",2,"-25",6.15737499919601
"Shark",2,"-50",6.33927499917226
"Shark",2,"25",0
"Shark",2,"50",0
"Shark",3,"-25",7.36697499903807
"Shark",3,"-50",5.06052499933923
"Shark",3,"100",0
"Shark",3,"150",0
"Shark",3,"200",0
"Shark",3,"25",0
"Shark",3,"300",0
"Shark",3,"400",0
"Shark",3,"50",0
"Shark",3,"75",0
